passage_id,class,source_id,word_count,char_len,era,chunk_method,band
great_056,great,Austen_PridePrejudice,234,1234,pre1928,sent_budget,main
great_057,great,Stevenson_TreasureIsland,174,947,pre1928,sent_budget,main
great_058,great,Austen_PridePrejudice,315,1711,pre1928,sent_budget,main
great_059,great,Bronte_JaneEyre,268,1586,pre1928,sent_budget,main
great_060,great,Austen_Emma,353,1958,pre1928,sent_budget,main
great_061,great,Shelley_Frankenstein,250,1430,pre1928,sent_budget,main
great_062,great,Stevenson_TreasureIsland,169,892,pre1928,sent_budget,main
great_063,great,Austen_PridePrejudice,352,1961,pre1928,sent_budget,main
great_064,great,Wilde_DorianGray,316,1817,pre1928,sent_budget,main
great_065,great,Wharton_AgeOfInnocence,367,2032,pre1928,sent_budget,main
great_066,great,Stevenson_TreasureIsland,383,1939,pre1928,sent_budget,main
great_067,great,Shelley_Frankenstein,335,1848,pre1928,sent_budget,main
great_068,great,Eliot_Middlemarch,396,2333,pre1928,sent_budget,main
great_069,great,Melville_MobyDick,165,956,pre1928,sent_budget,main
great_070,great,Austen_PridePrejudice,199,1088,pre1928,sent_budget,main
great_071,great,Austen_Emma,199,1076,pre1928,sent_budget,main
great_072,great,Austen_PridePrejudice,154,779,pre1928,sent_budget,main
great_073,great,Stevenson_TreasureIsland,207,1027,pre1928,sent_budget,main
great_074,great,Twain_HuckFinn,161,771,pre1928,sent_budget,main
great_075,great,Wilde_DorianGray,325,1690,pre1928,sent_budget,main
great_076,great,Austen_PridePrejudice,227,1287,pre1928,sent_budget,main
great_077,great,Austen_PridePrejudice,319,1752,pre1928,sent_budget,main
great_078,great,Eliot_Middlemarch,317,1649,pre1928,sent_budget,main
great_079,great,Austen_PridePrejudice,207,1084,pre1928,sent_budget,main
flat_000,flat,cat:carcass,195,1277,1987,sent_budget,main
flat_001,flat,cat:trade,311,1824,1987,sent_budget,main
flat_002,flat,cat:tin,222,1282,1987,sent_budget,main
flat_003,flat,cat:cotton,215,1321,1987,sent_budget,main
flat_004,flat,cat:gas,229,1311,1987,sent_budget,main
flat_005,flat,cat:coffee,196,1251,1987,sent_budget,main
flat_006,flat,cat:nat-gas,208,1204,1987,sent_budget,main
flat_007,flat,cat:tin,350,2093,1987,sent_budget,main
flat_008,flat,cat:wpi,158,966,1987,sent_budget,main
flat_009,flat,cat:rubber,287,1806,1987,sent_budget,main
flat_010,flat,cat:gas,158,971,1987,sent_budget,main
flat_011,flat,cat:cpu,189,1087,1987,sent_budget,main
flat_012,flat,cat:rubber,242,1510,1987,sent_budget,main
flat_013,flat,cat:veg-oil,178,1260,1987,sent_budget,main
flat_014,flat,cat:oilseed,208,1318,1987,sent_budget,main
flat_015,flat,cat:trade,198,1195,1987,sent_budget,main
flat_016,flat,cat:iron-steel,199,1262,1987,sent_budget,main
flat_017,flat,cat:lumber,185,1115,1987,sent_budget,main
flat_018,flat,cat:rubber,328,2025,1987,sent_budget,main
flat_019,flat,cat:sugar,342,2060,1987,sent_budget,main
flat_020,flat,cat:wpi,244,1494,1987,sent_budget,main
flat_021,flat,cat:rubber,195,1106,1987,sent_budget,main
flat_022,flat,cat:trade,228,1429,1987,sent_budget,main
flat_023,flat,cat:jobs,280,1595,1987,sent_budget,main
flat_024,flat,cat:bop,163,1046,1987,sent_budget,main
flat_025,flat,cat:rubber,345,2219,1987,sent_budget,main
flat_026,flat,cat:wheat,254,1619,1987,sent_budget,main
flat_027,flat,cat:cocoa,177,1066,1987,sent_budget,main
flat_028,flat,cat:jobs,339,2068,1987,sent_budget,main
flat_029,flat,cat:carcass,204,1187,1987,sent_budget,main
flat_030,flat,cat:grain,197,1195,1987,sent_budget,main
flat_031,flat,cat:rubber,207,1259,1987,sent_budget,main
flat_032,flat,cat:rubber,236,1420,1987,sent_budget,main
flat_033,flat,cat:wpi,214,1215,1987,sent_budget,main
flat_034,flat,cat:iron-steel,214,1262,1987,sent_budget,main
flat_035,flat,cat:coffee,175,1029,1987,sent_budget,main
flat_036,flat,cat:cocoa,227,1395,1987,sent_budget,main
flat_037,flat,cat:copra-cake,337,2016,1987,sent_budget,main
flat_038,flat,cat:cocoa,181,1108,1987,sent_budget,main
flat_039,flat,cat:tin,377,2173,1987,sent_budget,main
flat_040,flat,cat:cotton,178,1178,1987,sent_budget,main
flat_041,flat,cat:grain,267,1631,1987,sent_budget,main
flat_042,flat,cat:coffee,204,1295,1987,sent_budget,main
flat_043,flat,cat:bop,209,1203,1987,sent_budget,main
flat_044,flat,cat:coffee,260,1639,1987,sent_budget,main
flat_045,flat,cat:sugar,315,2127,1987,sent_budget,main
flat_046,flat,cat:bop,336,1857,1987,sent_budget,main
flat_047,flat,cat:wheat,325,1999,1987,sent_budget,main
flat_048,flat,cat:rubber,267,1614,1987,sent_budget,main
flat_049,flat,cat:carcass,332,2100,1987,sent_budget,main
flat_050,flat,cat:coffee,298,1869,1987,sent_budget,main
flat_051,flat,cat:cotton,276,1621,1987,sent_budget,main
flat_052,flat,cat:housing,365,2246,1987,sent_budget,main
flat_053,flat,cat:carcass,250,1511,1987,sent_budget,main
flat_054,flat,cat:nat-gas,306,1733,1987,sent_budget,main
flat_055,flat,cat:rubber,392,2596,1987,sent_budget,main
flat_056,flat,cat:rubber,334,2102,1987,sent_budget,main
flat_057,flat,cat:tin,384,2406,1987,sent_budget,main
flat_058,flat,cat:gas,375,2349,1987,sent_budget,main
flat_059,flat,cat:cocoa,392,2295,1987,sent_budget,main
flat_060,flat,cat:coffee,390,2450,1987,sent_budget,main
flat_061,flat,cat:sugar,250,1511,1987,sent_budget,main
flat_062,flat,cat:lumber,361,2215,1987,sent_budget,main
flat_063,flat,cat:barley,330,2029,1987,sent_budget,main
flat_064,flat,cat:cocoa,264,1731,1987,sent_budget,main
flat_065,flat,cat:grain,371,2377,1987,sent_budget,main
flat_066,flat,cat:tin,293,1784,1987,sent_budget,main
flat_067,flat,cat:wheat,345,2086,1987,sent_budget,main
flat_068,flat,cat:zinc,254,1564,1987,sent_budget,main
flat_069,flat,cat:groundnut,289,1801,1987,sent_budget,main
flat_070,flat,cat:bop,278,1595,1987,sent_budget,main
flat_071,flat,cat:barley,266,1571,1987,sent_budget,main
flat_072,flat,cat:rubber,348,2122,1987,sent_budget,main
flat_073,flat,cat:trade,318,2079,1987,sent_budget,main
flat_074,flat,cat:sugar,371,2321,1987,sent_budget,main
flat_075,flat,cat:trade,374,2290,1987,sent_budget,main
flat_076,flat,cat:cocoa,392,2596,1987,sent_budget,main
flat_077,flat,cat:sugar,383,2406,1987,sent_budget,main
flat_078,flat,cat:tin,381,2358,1987,sent_budget,main
flat_079,flat,cat:coffee,360,2236,1987,sent_budget,main
slop_000,slop,model:Qwen/Qwen2.5-14B-Instruct-AWQ,236,1346,modern_ai,sent_budget,main
slop_001,slop,model:arcee-ai/Arcee-Blitz-AWQ,257,1423,modern_ai,sent_budget,main
slop_002,slop,model:solidrust/gemma-2-9b-it-AWQ,188,1152,modern_ai,sent_budget,main
slop_003,slop,model:solidrust/Gemma-2-Ataraxy-9B-AWQ,280,1694,modern_ai,sent_budget,main
slop_004,slop,model:AMead10/c4ai-command-r-08-2024-awq,336,1969,modern_ai,sent_budget,main
slop_005,slop,model:casperhansen/mistral-nemo-instruct-2407-awq,210,1180,modern_ai,sent_budget,main
slop_006,slop,model:AMead10/SuperNova-Medius-AWQ,299,1688,modern_ai,sent_budget,main
slop_007,slop,model:AMead10/c4ai-command-r-08-2024-awq,178,1064,modern_ai,sent_budget,main
slop_008,slop,model:hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,395,2066,modern_ai,sent_budget,main
slop_009,slop,model:Orion-zhen/aya-expanse-8b-AWQ,240,1486,modern_ai,sent_budget,main
slop_010,slop,model:Orion-zhen/aya-expanse-8b-AWQ,197,1094,modern_ai,sent_budget,main
slop_011,slop,model:solidrust/Hermes-3-Llama-3.1-8B-AWQ,165,903,modern_ai,sent_budget,main
slop_012,slop,model:stelterlab/Mistral-Small-24B-Instruct-2501-AWQ,384,2211,modern_ai,sent_budget,main
slop_013,slop,model:hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,170,987,modern_ai,sent_budget,main
slop_014,slop,model:Orion-zhen/aya-expanse-8b-AWQ,378,2222,modern_ai,sent_budget,main
slop_015,slop,model:harborwater/Gemma-2-9B-It-SPPO-Iter3-AWQ,234,1445,modern_ai,sent_budget,main
slop_016,slop,model:stelterlab/Mistral-Small-24B-Instruct-2501-AWQ,351,1975,modern_ai,sent_budget,main
slop_017,slop,model:solidrust/Hermes-3-Llama-3.1-8B-AWQ,324,1774,modern_ai,sent_budget,main
slop_018,slop,model:alijawad07/aya-23-8B-AWQ-GEMM,194,1115,modern_ai,sent_budget,main
slop_019,slop,model:solidrust/Hermes-3-Llama-3.1-8B-AWQ,288,1578,modern_ai,sent_budget,main
slop_020,slop,model:alijawad07/aya-23-8B-AWQ-GEMM,203,1174,modern_ai,sent_budget,main
slop_021,slop,model:Qwen/Qwen2.5-14B-Instruct-AWQ,310,1770,modern_ai,sent_budget,main
slop_022,slop,model:harborwater/Gemma-2-9B-It-SPPO-Iter3-AWQ,292,1841,modern_ai,sent_budget,main
slop_023,slop,model:solidrust/Gemma-2-Ataraxy-9B-AWQ,222,1345,modern_ai,sent_budget,main
slop_024,slop,model:AMead10/c4ai-command-r-08-2024-awq,395,2300,modern_ai,sent_budget,main
slop_025,slop,model:solidrust/Hermes-3-Llama-3.1-8B-AWQ,390,2182,modern_ai,sent_budget,main
slop_026,slop,model:arcee-ai/Arcee-Blitz-AWQ,390,2181,modern_ai,sent_budget,main
slop_027,slop,model:harborwater/Gemma-2-9B-It-SPPO-Iter3-AWQ,210,1216,modern_ai,sent_budget,main
slop_028,slop,model:Orion-zhen/aya-expanse-32b-AWQ,360,2014,modern_ai,sent_budget,main
slop_029,slop,model:alijawad07/aya-23-8B-AWQ-GEMM,293,1674,modern_ai,sent_budget,main
slop_030,slop,model:arcee-ai/Arcee-Blitz-AWQ,300,1658,modern_ai,sent_budget,main
slop_031,slop,model:harborwater/Gemma-2-9B-It-SPPO-Iter3-AWQ,376,2277,modern_ai,sent_budget,main
slop_032,slop,model:arcee-ai/Arcee-Blitz-AWQ,391,2081,modern_ai,sent_budget,main
slop_033,slop,model:Qwen/Qwen2.5-14B-Instruct-AWQ,228,1278,modern_ai,sent_budget,main
slop_034,slop,model:hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,245,1403,modern_ai,sent_budget,main
slop_035,slop,model:solidrust/Gemma-2-Ataraxy-9B-AWQ,158,1000,modern_ai,sent_budget,main
slop_036,slop,model:stelterlab/phi-4-AWQ,285,1641,modern_ai,sent_budget,main
slop_037,slop,model:Orion-zhen/aya-expanse-32b-AWQ,164,919,modern_ai,sent_budget,main
slop_038,slop,model:AMead10/SuperNova-Medius-AWQ,377,2171,modern_ai,sent_budget,main
slop_039,slop,model:solidrust/Hermes-3-Llama-3.1-8B-AWQ,316,1723,modern_ai,sent_budget,main
slop_040,slop,model:AMead10/SuperNova-Medius-AWQ,374,2060,modern_ai,sent_budget,main
slop_041,slop,model:alijawad07/aya-23-8B-AWQ-GEMM,375,2148,modern_ai,sent_budget,main
slop_042,slop,model:Qwen/Qwen2.5-14B-Instruct-AWQ,292,1709,modern_ai,sent_budget,main
slop_043,slop,model:casperhansen/mistral-nemo-instruct-2407-awq,167,905,modern_ai,sent_budget,main
slop_044,slop,model:Orion-zhen/aya-expanse-8b-AWQ,156,914,modern_ai,sent_budget,main
slop_045,slop,model:AMead10/SuperNova-Medius-AWQ,345,1969,modern_ai,sent_budget,main
slop_046,slop,model:casperhansen/mistral-nemo-instruct-2407-awq,313,1763,modern_ai,sent_budget,main
slop_047,slop,model:stelterlab/phi-4-AWQ,337,2150,modern_ai,sent_budget,main
slop_048,slop,model:hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,302,1744,modern_ai,sent_budget,main
slop_049,slop,model:casperhansen/mistral-nemo-instruct-2407-awq,293,1732,modern_ai,sent_budget,main
slop_050,slop,model:Orion-zhen/aya-expanse-8b-AWQ,207,1253,modern_ai,sent_budget,main
slop_051,slop,model:AMead10/c4ai-command-r-08-2024-awq,240,1432,modern_ai,sent_budget,main
slop_052,slop,model:solidrust/gemma-2-9b-it-AWQ,352,2055,modern_ai,sent_budget,main
slop_053,slop,model:Orion-zhen/aya-expanse-8b-AWQ,178,1002,modern_ai,sent_budget,main
slop_054,slop,model:solidrust/Gemma-2-Ataraxy-9B-AWQ,366,2229,modern_ai,sent_budget,main
slop_055,slop,model:casperhansen/mistral-nemo-instruct-2407-awq,303,1768,modern_ai,sent_budget,main
slop_056,slop,model:stelterlab/Mistral-Small-24B-Instruct-2501-AWQ,219,1217,modern_ai,sent_budget,main
slop_057,slop,model:Orion-zhen/aya-expanse-8b-AWQ,193,1102,modern_ai,sent_budget,main
slop_058,slop,model:Orion-zhen/aya-expanse-8b-AWQ,259,1481,modern_ai,sent_budget,main
slop_059,slop,model:solidrust/Gemma-2-Ataraxy-9B-AWQ,310,1892,modern_ai,sent_budget,main
slop_060,slop,model:AMead10/SuperNova-Medius-AWQ,195,1173,modern_ai,sent_budget,main
slop_061,slop,model:arcee-ai/Arcee-Blitz-AWQ,303,1664,modern_ai,sent_budget,main
slop_062,slop,model:alijawad07/aya-23-8B-AWQ-GEMM,292,1658,modern_ai,sent_budget,main
slop_063,slop,model:casperhansen/mistral-nemo-instruct-2407-awq,192,1070,modern_ai,sent_budget,main
slop_064,slop,model:harborwater/Gemma-2-9B-It-SPPO-Iter3-AWQ,400,2512,modern_ai,sent_budget,main
slop_065,slop,model:alijawad07/aya-23-8B-AWQ-GEMM,286,1630,modern_ai,sent_budget,main
slop_066,slop,model:Qwen/Qwen2.5-14B-Instruct-AWQ,204,1114,modern_ai,sent_budget,main
slop_067,slop,model:harborwater/Gemma-2-9B-It-SPPO-Iter3-AWQ,294,1800,modern_ai,sent_budget,main
slop_068,slop,model:arcee-ai/Arcee-Blitz-AWQ,298,1702,modern_ai,sent_budget,main
slop_069,slop,model:stelterlab/Mistral-Small-24B-Instruct-2501-AWQ,281,1644,modern_ai,sent_budget,main
slop_070,slop,model:Qwen/Qwen2.5-14B-Instruct-AWQ,158,885,modern_ai,sent_budget,main
slop_071,slop,model:solidrust/Hermes-3-Llama-3.1-8B-AWQ,343,1946,modern_ai,sent_budget,main
slop_072,slop,model:stelterlab/Mistral-Small-24B-Instruct-2501-AWQ,316,1717,modern_ai,sent_budget,main
slop_073,slop,model:stelterlab/phi-4-AWQ,180,1035,modern_ai,sent_budget,main
slop_074,slop,model:stelterlab/Mistral-Small-24B-Instruct-2501-AWQ,265,1487,modern_ai,sent_budget,main
slop_075,slop,model:harborwater/Gemma-2-9B-It-SPPO-Iter3-AWQ,245,1504,modern_ai,sent_budget,main
slop_076,slop,model:hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,221,1228,modern_ai,sent_budget,main
slop_077,slop,model:harborwater/Gemma-2-9B-It-SPPO-Iter3-AWQ,317,2000,modern_ai,sent_budget,main
slop_078,slop,model:Orion-zhen/aya-expanse-32b-AWQ,331,1951,modern_ai,sent_budget,main
slop_079,slop,model:hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,220,1260,modern_ai,sent_budget,main
euclaise_000,euclaise,euclaise,322,1609,modern_human,sent_budget,era_band
euclaise_001,euclaise,euclaise,385,2032,modern_human,sent_budget,era_band
euclaise_002,euclaise,euclaise,183,908,modern_human,sent_budget,era_band
euclaise_003,euclaise,euclaise,160,868,modern_human,sent_budget,era_band
euclaise_004,euclaise,euclaise,152,765,modern_human,sent_budget,era_band
euclaise_005,euclaise,euclaise,245,1307,modern_human,sent_budget,era_band
euclaise_006,euclaise,euclaise,220,1105,modern_human,sent_budget,era_band
euclaise_007,euclaise,euclaise,241,1252,modern_human,sent_budget,era_band
euclaise_008,euclaise,euclaise,206,1069,modern_human,sent_budget,era_band
euclaise_009,euclaise,euclaise,158,784,modern_human,sent_budget,era_band
euclaise_010,euclaise,euclaise,187,1043,modern_human,sent_budget,era_band
euclaise_011,euclaise,euclaise,384,1947,modern_human,sent_budget,era_band
euclaise_012,euclaise,euclaise,290,1529,modern_human,sent_budget,era_band
euclaise_013,euclaise,euclaise,206,1143,modern_human,sent_budget,era_band
euclaise_014,euclaise,euclaise,336,1737,modern_human,sent_budget,era_band
euclaise_015,euclaise,euclaise,331,1895,modern_human,sent_budget,era_band
euclaise_016,euclaise,euclaise,201,1222,modern_human,sent_budget,era_band
euclaise_017,euclaise,euclaise,192,1032,modern_human,sent_budget,era_band
euclaise_018,euclaise,euclaise,336,1684,modern_human,sent_budget,era_band
euclaise_019,euclaise,euclaise,237,1256,modern_human,sent_budget,era_band
euclaise_020,euclaise,euclaise,229,1269,modern_human,sent_budget,era_band
euclaise_021,euclaise,euclaise,285,1441,modern_human,sent_budget,era_band
euclaise_022,euclaise,euclaise,276,1456,modern_human,sent_budget,era_band
euclaise_023,euclaise,euclaise,278,1562,modern_human,sent_budget,era_band
euclaise_024,euclaise,euclaise,323,1818,modern_human,sent_budget,era_band
euclaise_025,euclaise,euclaise,246,1264,modern_human,sent_budget,era_band
euclaise_026,euclaise,euclaise,227,1346,modern_human,sent_budget,era_band
euclaise_027,euclaise,euclaise,210,1017,modern_human,sent_budget,era_band
euclaise_028,euclaise,euclaise,169,867,modern_human,sent_budget,era_band
euclaise_029,euclaise,euclaise,288,1604,modern_human,sent_budget,era_band
euclaise_030,euclaise,euclaise,343,1747,modern_human,sent_budget,era_band
euclaise_031,euclaise,euclaise,256,1292,modern_human,sent_budget,era_band
euclaise_032,euclaise,euclaise,375,2050,modern_human,sent_budget,era_band
euclaise_033,euclaise,euclaise,219,1156,modern_human,sent_budget,era_band
euclaise_034,euclaise,euclaise,164,836,modern_human,sent_budget,era_band
euclaise_035,euclaise,euclaise,284,1394,modern_human,sent_budget,era_band
euclaise_036,euclaise,euclaise,256,1280,modern_human,sent_budget,era_band
euclaise_037,euclaise,euclaise,356,2383,modern_human,sent_budget,era_band
euclaise_038,euclaise,euclaise,180,936,modern_human,sent_budget,era_band
euclaise_039,euclaise,euclaise,159,850,modern_human,sent_budget,era_band
euclaise_040,euclaise,euclaise,250,1209,modern_human,sent_budget,era_band
euclaise_041,euclaise,euclaise,291,1604,modern_human,sent_budget,era_band
euclaise_042,euclaise,euclaise,395,2169,modern_human,sent_budget,era_band
euclaise_043,euclaise,euclaise,363,1851,modern_human,sent_budget,era_band
euclaise_044,euclaise,euclaise,285,1400,modern_human,sent_budget,era_band
euclaise_045,euclaise,euclaise,276,1525,modern_human,sent_budget,era_band
euclaise_046,euclaise,euclaise,306,1548,modern_human,sent_budget,era_band
euclaise_047,euclaise,euclaise,303,1495,modern_human,sent_budget,era_band
euclaise_048,euclaise,euclaise,160,808,modern_human,sent_budget,era_band
euclaise_049,euclaise,euclaise,312,1688,modern_human,sent_budget,era_band
euclaise_050,euclaise,euclaise,169,882,modern_human,sent_budget,era_band
euclaise_051,euclaise,euclaise,375,2055,modern_human,sent_budget,era_band
euclaise_052,euclaise,euclaise,315,1580,modern_human,sent_budget,era_band
euclaise_053,euclaise,euclaise,324,1680,modern_human,sent_budget,era_band
euclaise_054,euclaise,euclaise,309,1437,modern_human,sent_budget,era_band
euclaise_055,euclaise,euclaise,353,1812,modern_human,sent_budget,era_band
euclaise_056,euclaise,euclaise,367,1851,modern_human,sent_budget,era_band
euclaise_057,euclaise,euclaise,371,1816,modern_human,sent_budget,era_band
euclaise_058,euclaise,euclaise,365,1924,modern_human,sent_budget,era_band
euclaise_059,euclaise,euclaise,358,1818,modern_human,sent_budget,era_band
modhuman_000,modhuman,wp_121,257,1206,modern_human,sent_budget,main
modhuman_001,modhuman,wp_265,205,1067,modern_human,sent_budget,main
modhuman_002,modhuman,wp_237,307,1689,modern_human,sent_budget,main
modhuman_003,modhuman,wp_188,299,1567,modern_human,sent_budget,main
modhuman_004,modhuman,wp_0,175,877,modern_human,sent_budget,main
modhuman_005,modhuman,wp_221,257,1374,modern_human,sent_budget,main
modhuman_006,modhuman,wp_186,323,1681,modern_human,sent_budget,main
modhuman_007,modhuman,wp_1,285,1529,modern_human,sent_budget,main
modhuman_008,modhuman,wp_105,227,1150,modern_human,sent_budget,main
modhuman_009,modhuman,wp_154,298,1518,modern_human,sent_budget,main
modhuman_010,modhuman,wp_56,262,1358,modern_human,sent_budget,main
modhuman_011,modhuman,wp_16,157,821,modern_human,sent_budget,main
modhuman_012,modhuman,wp_246,246,1269,modern_human,sent_budget,main
modhuman_013,modhuman,wp_8,359,1773,modern_human,sent_budget,main
modhuman_014,modhuman,wp_266,318,1832,modern_human,sent_budget,main
modhuman_015,modhuman,wp_205,209,1091,modern_human,sent_budget,main
modhuman_016,modhuman,wp_155,345,1567,modern_human,sent_budget,main
modhuman_017,modhuman,wp_278,329,1668,modern_human,sent_budget,main
modhuman_018,modhuman,wp_133,226,1158,modern_human,sent_budget,main
modhuman_019,modhuman,wp_271,293,1601,modern_human,sent_budget,main
modhuman_020,modhuman,wp_185,167,863,modern_human,sent_budget,main
modhuman_021,modhuman,wp_39,246,1160,modern_human,sent_budget,main
modhuman_022,modhuman,wp_92,220,1105,modern_human,sent_budget,main
modhuman_023,modhuman,wp_81,363,1994,modern_human,sent_budget,main
modhuman_024,modhuman,wp_45,365,2034,modern_human,sent_budget,main
modhuman_025,modhuman,wp_99,341,2458,modern_human,sent_budget,main
modhuman_026,modhuman,wp_172,250,1296,modern_human,sent_budget,main
modhuman_027,modhuman,wp_140,167,923,modern_human,sent_budget,main
modhuman_028,modhuman,wp_292,258,1381,modern_human,sent_budget,main
modhuman_029,modhuman,wp_294,248,1312,modern_human,sent_budget,main
modhuman_030,modhuman,wp_250,170,895,modern_human,sent_budget,main
modhuman_031,modhuman,wp_239,198,1077,modern_human,sent_budget,main
modhuman_032,modhuman,wp_98,268,1244,modern_human,sent_budget,main
modhuman_033,modhuman,wp_126,231,1241,modern_human,sent_budget,main
modhuman_034,modhuman,wp_11,162,822,modern_human,sent_budget,main
modhuman_035,modhuman,wp_102,214,1120,modern_human,sent_budget,main
modhuman_036,modhuman,wp_7,294,1427,modern_human,sent_budget,main
modhuman_037,modhuman,wp_243,315,1912,modern_human,sent_budget,main
modhuman_038,modhuman,wp_250,363,1915,modern_human,sent_budget,main
modhuman_039,modhuman,wp_3,176,817,modern_human,sent_budget,main
modhuman_040,modhuman,wp_171,338,1707,modern_human,sent_budget,main
modhuman_041,modhuman,wp_260,366,1850,modern_human,sent_budget,main
modhuman_042,modhuman,wp_162,315,1762,modern_human,sent_budget,main
modhuman_043,modhuman,wp_230,256,1296,modern_human,sent_budget,main
modhuman_044,modhuman,wp_2,230,1169,modern_human,sent_budget,main
modhuman_045,modhuman,wp_242,154,917,modern_human,sent_budget,main
modhuman_046,modhuman,wp_48,342,1841,modern_human,sent_budget,main
modhuman_047,modhuman,wp_65,341,1813,modern_human,sent_budget,main
modhuman_048,modhuman,wp_281,349,1912,modern_human,sent_budget,main
modhuman_049,modhuman,wp_186,226,1153,modern_human,sent_budget,main
modhuman_050,modhuman,wp_196,170,892,modern_human,sent_budget,main
modhuman_051,modhuman,wp_228,397,2155,modern_human,sent_budget,main
modhuman_052,modhuman,wp_128,182,877,modern_human,sent_budget,main
modhuman_053,modhuman,wp_72,383,1889,modern_human,sent_budget,main
modhuman_054,modhuman,wp_117,258,1355,modern_human,sent_budget,main
modhuman_055,modhuman,wp_273,201,1072,modern_human,sent_budget,main
modhuman_056,modhuman,wp_274,172,801,modern_human,sent_budget,main
